A,B,C,D,E,F,G,H,I,J,K,L
0.0,0.11720454692840575,-1.0,0.0,399.290114822034,-24.737222002335702,157.67307829837603,-13.079631751828812,-2.8233803457933684,300.3695307296217,286.4232139708382,-3.033006264494952
0.023453116416931152,0.13282978534698486,-1.0,0.0,399.97049966270276,-8.816489348948362,158.07993406355698,-6.907033130895629,-2.7830632400722988,288.58861099202596,298.1039787667389,-2.9926891587738824
1.0,0.046890974044799805,0.0,0.0,399.98027804601617,6.609429314234894,158.19991563017606,-0.9369671097799208,-2.7439678648276264,276.6873848475217,308.9419637179016,-2.9535937835292096
1.0,0.0312657356262207,0.0,0.0,398.2821439185499,6.529802150939279,156.50178150270986,-1.0165942730755273,-2.7439678648276264,274.98925072005545,308.86233655460603,-2.9535937835292096
1.0,0.0,0.0,0.0,396.682925382638,6.479801406986918,154.90256296679794,-1.06659501702788,-2.7439678648276264,273.3900321841436,308.8123358106536,-2.9535937835292096
1.0,0.0,0.0,0.0,395.03292538263804,6.479801406986885,153.25256296679794,-1.0665950170279048,-2.7439678648276264,271.7400321841436,308.8123358106536,-2.9535937835292096
1.0,0.0625162124633789,0.0,0.0,393.18292538263785,6.479801406986951,151.40256296679794,-1.0665950170278882,-2.7439678648276264,269.8900321841436,308.8123358106536,-2.9535937835292096
1.0,0.0,0.0,0.0,391.68584802616317,6.386209800895492,149.90548561032332,-1.160186623119347,-2.7439678648276264,268.3929548276689,308.7187442045621,-2.9535937835292096
1.0,0.0,0.0,0.0,390.03584802616325,6.3862098008954264,148.25548561032332,-1.1601866231193805,-2.7439678648276264,266.74295482766894,308.7187442045621,-2.9535937835292096
1.0,0.0,0.0,0.0,388.3858480261633,6.386209800895393,146.60548561032326,-1.1601866231194051,-2.7439678648276264,265.0929548276689,308.7187442045621,-2.9535937835292096
1.0,0.0,0.0,0.0,386.7358480261632,6.386209800895361,144.95548561032325,-1.1601866231194389,-2.7439678648276264,263.44295482766887,308.7187442045621,-2.9535937835292096
1.0,0.0,0.0,0.0,385.08584802616326,6.386209800895326,143.30548561032322,-1.1601866231194635,-2.7439678648276264,261.79295482766884,308.7187442045621,-2.9535937835292096
1.0,0.0,0.0,0.0,383.43584802616334,6.386209800895292,141.65548561032318,-1.1601866231194884,-2.7439678648276264,260.14295482766886,308.7187442045621,-2.9535937835292096
1.0,0.0,0.0,0.0,381.78584802616325,6.386209800895292,140.00548561032323,-1.1601866231195137,-2.7439678648276264,258.4929548276688,308.71874420456186,-2.9535937835292096
1.0,0.0,0.0,0.0,380.18584802616317,6.386209800895326,138.40548561032324,-1.1601866231195053,-2.7439678648276264,256.8929548276688,308.7187442045621,-2.9535937835292096
1.0,0.0,0.0,0.0,378.43584802616317,6.386209800895326,136.6554856103232,-1.1601866231195053,-2.7439678648276264,255.1429548276689,308.7187442045621,-2.9535937835292096
1.0,0.0,0.0,0.0,376.83584802616326,6.386209800895292,135.05548561032325,-1.1601866231194802,-2.7439678648276264,253.54295482766884,308.7187442045621,-2.9535937835292096
1.0,0.0,0.0,0.0,375.18584802616317,6.386209800895292,133.4054856103232,-1.1601866231195137,-2.7439678648276264,251.8929548276689,308.7187442045621,-2.9535937835292096
1.0,0.0,0.0,0.0,373.5358480261632,6.38620980089526,131.7554856103232,-1.1601866231195468,-2.7439678648276264,250.24295482766883,308.71874420456186,-2.9535937835292096
1.0,0.0,0.0,0.0,371.93584802616317,6.386209800895292,130.1554856103232,-1.1601866231195217,-2.7439678648276264,248.64295482766883,308.71874420456186,-2.9535937835292096
1.0,0.0,0.0,0.0,370.2358480261632,6.38620980089526,128.4554856103232,-1.1601866231195386,-2.7439678648276264,246.9429548276688,308.7187442045621,-2.9535937835292096
1.0,0.0,0.0,0.0,368.5858480261632,6.3862098008952275,126.80548561032316,-1.1601866231195634,-2.7439678648276264,245.2929548276688,308.7187442045618,-2.9535937835292096
1.0,0.0,0.0,0.0,366.93584802616317,6.3862098008952275,125.15548561032317,-1.1601866231195967,-2.7439678648276264,243.6429548276688,308.7187442045618,-2.9535937835292096
1.0,0.0,0.0,0.0,365.2358480261631,6.386209800895193,123.45548561032318,-1.1601866231196134,-2.7439678648276264,241.9429548276688,308.7187442045618,-2.9535937835292096
1.0,0.0,0.0,0.0,363.68584802616317,6.3862098008952275,121.90548561032318,-1.1601866231196052,-2.7439678648276264,240.3929548276688,308.7187442045618,-2.9535937835292096
1.0,0.0,0.0,0.0,362.0358480261632,6.386209800895193,120.25548561032316,-1.1601866231196298,-2.7439678648276264,238.7429548276688,308.7187442045618,-2.9535937835292096
1.0,0.0,0.0,0.0,360.3358480261632,6.386209800895159,118.55548561032316,-1.1601866231196551,-2.7439678648276264,237.04295482766875,308.7187442045618,-2.9535937835292096
1.0,0.0,0.0,0.0,358.6858480261631,6.386209800895126,116.90548561032314,-1.16018662311968,-2.7439678648276264,235.3929548276688,308.7187442045618,-2.9535937835292096
1.0,0.0,0.0,0.0,357.0358480261632,6.3862098008950925,115.25548561032312,-1.160186623119705,-2.7439678648276264,233.74295482766868,308.71874420456174,-2.9535937835292096
1.0,0.0,0.0,0.0,355.43584802616317,6.386209800895142,113.65548561032313,-1.16018662311968,-2.7439678648276264,232.14295482766877,308.71874420456174,-2.9535937835292096
1.0,0.0,0.0,0.0,353.7358480261631,6.386209800895126,111.95548561032312,-1.160186623119705,-2.7439678648276264,230.4429548276688,308.7187442045618,-2.9535937835292096
1.0,0.0,0.0,0.0,352.08584802616303,6.3862098008950925,110.30548561032309,-1.16018662311973,-2.7439678648276264,228.79295482766872,308.71874420456174,-2.9535937835292096
1.0,0.0,0.0,0.0,350.4358480261631,6.386209800895059,108.65548561032313,-1.1601866231197548,-2.7439678648276264,227.14295482766872,308.71874420456174,-2.9535937835292096
1.0,0.07032883167266846,0.0,0.0,348.735848026163,6.386209800895027,106.95548561032308,-1.1601866231197715,-2.7439678648276264,225.44295482766876,308.71874420456174,-2.9535937835292096
1.0,0.2109559774398804,0.0,0.0,347.13979032344844,6.273960927380946,105.35942790760842,-1.272435496633878,-2.7439678648276264,223.84689712495398,308.60649533104765,-2.9535937835292096
1.0,0.2109559774398804,0.0,0.0,345.52532315376754,5.933379427556323,103.74496073792757,-1.6130169964585075,-2.7439678648276264,222.23242995527318,308.2659138312231,-2.9535937835292096
1.0,0.16408026218414307,0.0,0.0,343.7640862413885,5.561835973202188,101.9837238255485,-1.984560450812633,-2.7439678648276264,220.4711930428941,307.89437037686884,-2.9535937835292096
1.0,0.13282978534698486,0.0,0.0,342.28387922060875,5.318963217145812,100.50351680476878,-2.2274332068689957,-2.7439678648276264,218.9909860221144,307.65149762081245,-2.9535937835292096
1.0,0.2265812158584595,0.0,0.0,340.69781014545316,5.108286002347412,98.91744772961322,-2.438110421667411,-2.7439678648276264,217.40491694695882,307.44082040601404,-2.9535937835292096
1.0,0.13282978534698486,0.0,0.0,339.08860079699383,4.743669391602662,97.3082383811538,-2.8027270324121614,-2.7439678648276264,215.79570759849946,307.0762037952693,-2.9535937835292096
1.0,0.1250171661376953,0.0,0.0,337.4034024046411,4.519824850879329,95.623039988801,-3.0265715731354783,-2.7439678648276264,214.11050920614662,306.85235925454595,-2.9535937835292096
1.0,0.1406424045562744,0.0,0.0,335.6173060003964,4.296532139971903,93.83694358455635,-3.2498642840428986,-2.7439678648276264,212.324412801902,306.6290665436386,-2.9535937835292096
1.0,0.17189288139343262,0.0,0.0,334.1319246973505,4.087624541828601,92.35156228151057,-3.4587718821862112,-2.7439678648276264,210.8390314988562,306.42015894549525,-2.9535937835292096
1.0,0.16408026218414307,0.0,0.0,332.505773882194,3.808100792631008,90.72541146635392,-3.7382956313837816,-2.7439678648276264,209.21288068369958,306.1406351962977,-2.9535937835292096
1.0,0.13282978534698486,0.0,0.0,330.8775461593362,3.5409407609690517,89.09718374349623,-4.005455663045766,-2.7439678648276264,207.58465296084182,305.8734751646357,-2.9535937835292096
